cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
4196,429.6,3,1,3.8,0,40.5,3,0
4205,265.35,3,0,3.3,0,19.4,0,1
4235,268.74,3,1,1.5,0,41.6,4,1
4253,285.34,4,2,0.8,0,52.9,0,1
4421,232.23,5,1,1.4,0,70.5,2,1
4428,341.4,5,2,1.9,0,70,2,1
4451,567.8,6,4,5.7,0,127,10,0
4463,266.3,4,1,2,0,58.1,1,1
4539,319.33,7,2,-1,0,72.9,3,0
4583,361.4,8,1,-0.4,0,73.3,2,1
4585,312.4,5,1,2.8,0,56.2,1,1
4594,345.4,6,1,2.2,0,96.3,5,0
4607,400.4,7,1,3,-1,141,3,0
4616,286.71,3,2,2.2,0,61.7,1,1
4649,153.14,4,3,1.3,0,83.6,1,0
4730,349.4,6,1,2.7,-1,124,4,0
4736,285.4,2,1,3.3,0,23.5,2,1
4737,226.27,3,2,2.1,0,75.3,4,1
4739,268.27,6,4,-2.1,0,112,2,1
4748,404,5,1,4.2,0,55.2,6,1
4756,213.24,5,2,1.9,0,89.6,2,0
4763,232.23,3,2,1.5,0,75.3,2,1
4811,275.35,4,1,0.7,0,44.8,2,1
4828,248.32,3,3,1.8,0,57.3,6,1
4889,424.5,7,4,1.6,0,124,11,0
4891,312.4,2,0,2.7,0,40.6,1,1
4911,285.36,5,1,3.2,0,83.1,7,0
4914,236.31,4,1,1.9,0,55.6,7,1
4920,314.5,2,0,3.9,0,34.1,1,1
4927,284.4,3,0,4.8,0,31.8,3,1
4943,178.27,1,1,3.8,0,20.2,2,1
4946,259.34,3,2,3,0,41.5,6,1
4991,181.21,2,0,0.7,1,33.4,2,1
4992,285.4,4,0,3.3,0,28.6,7,1
4993,248.71,4,2,2.7,0,77.8,2,1
5039,314.41,7,2,0.3,0,112,9,0
5064,244.2,7,4,-1.8,0,144,3,1
5073,410.5,6,0,2.7,0,61.9,4,1
5076,720.9,9,4,6,0,202,18,0
5095,260.37,2,1,2.7,0,32.3,7,1
5155,224.21,4,2,-0.8,0,78.9,2,1
5206,200.05,8,0,2.8,0,9.2,2,1
5215,250.28,6,2,-0.1,0,106,3,1
5253,272.37,5,3,0.2,0,86.8,6,1
5257,392.4,9,3,0.1,0,98.9,3,0
5297,581.6,15,12,-8,0,336,9,0
5300,265.22,8,5,-1.4,0,152,2,0
5329,253.28,6,2,0.9,0,107,3,1
5376,371.5,2,0,7.1,0,12.5,8,1
5391,300.74,3,1,2.2,0,52.9,1,1
5396,656.7,14,3,1.2,0,189,6,1
5402,291.4,1,0,5.6,0,3.2,5,1
5408,288.4,2,1,3.3,0,37.3,0,1
5452,370.6,4,0,5.9,0,57.1,4,1
5453,189.22,4,0,0.5,0,41.1,3,1
5470,312.4,2,1,2.4,0,37.3,1,1
5515,421.4,7,2,0.5,0,103,3,1
5556,343.2,3,0,2.4,0,43.1,1,1
5566,407.5,7,0,5,0,35,4,1
5578,290.32,7,2,0.9,0,106,5,1
5582,370.4,7,4,2.7,1,119,6,0
5625,456.6,7,3,2.4,0,119,6,0
5651,1449.2,26,19,-2.6,0,531,13,0
5718,211.22,3,2,-1.3,0,88.2,2,1
5726,267.24,6,2,0,0,93.2,3,1
5734,212.23,5,1,0.2,0,94.6,2,1
6468,243.4,1,0,3.6,0,3.2,2,1
6503,121.14,4,4,-2.9,0,86.7,3,0
8982,414.5,6,2,2.9,0,121,5,0
9034,262.3,3,1,2.3,0,66.5,3,1
17358,146.06,6,0,4.2,0,1,0,1
30623,268.27,6,2,-1.4,0,98.8,3,0
50614,575.6,15,4,0.1,0,321,9,0
60787,670.8,7,5,4.2,0,167,13,0
62959,416.4,10,2,0.3,0,99.8,3,1
65281,1422.7,21,17,-4.1,0,556,31,0
74989,366.8,3,1,5.2,0,54.4,2,0
2761171,166.25,2,1,1.1,0,71,2,1
5281007,182.18,4,2,-0.3,0,95.4,3,1
25880656,443.4,9,5,0.7,-1,189,1,1
26275995,456.5,8,4,0.1,-1,172,3,1
51601240,464.9,9,6,-0.5,0,186,1,0
